"","Point est.","Upper C.I."
"b0",0.999863770055475,1.00015242703263
"b1",1.00064949756152,1.00196902957589
"b2",1.00362527570894,1.00654605417592
"b3",1.0048786468992,1.01266752382402
"b4",1.0034824067351,1.00832518167498
"b5",1.00354569202672,1.00975637618138
"b6",1.00708683465056,1.01854916101991
"b7",1.00734507481292,1.02394098946374
"sigma",1.00520005759319,1.01597181438812
