"","Point est.","Upper C.I."
"b0",1.00017801061181,1.0017641403874
"b1",1.00065327138171,1.00367672370246
"b2",1.00162333511125,1.00672919597977
"b3",1.00199885229597,1.0032563107457
"sigma",1.00369487303863,1.01186672454229
