"","Point est.","Upper C.I."
"b0",1.0030381957945,1.00936528371715
"b1",1.0036308009279,1.01161577546816
"b2",1.00176627305876,1.00752289657355
"b3",1.00145942907715,1.00650455723536
"sigma",1.00145904310635,1.00213077429337
