"","Modnames","K","AIC","Delta_AIC","ModelLik","AICWt","LL","Cum.Wt"
"2","Era + Species",8,47708.306,0,1,0.728,-23846.153,0.728
"1","Era x Species",10,47710.975,2.67,0.263,0.192,-23845.488,0.92
"4","Species",7,47714.101,5.796,0.055,0.04,-23850.051,0.96
"3","Era",6,47714.197,5.892,0.053,0.038,-23851.099,0.998
"5","Null model",5,47720.156,11.851,0.003,0.002,-23855.078,1
