"","Modnames","K","AIC","Delta_AIC","ModelLik","AICWt","LL","Cum.Wt"
"1","Species",7,2618.353,0,1,0.998,-1302.177,0.998
"2","Null model",5,2630.423,12.07,0.002,0.002,-1310.212,1
