"","metric","slope","std_error","p_value","duration_yrs","change_temp_C"
"1","maximum",0.0131422731744067,0.00473561268454247,0.006940552734874,78,1.025
"2","median",0.00444967537614463,0.00372204930872449,0.235612315492726,78,0.347
"3","minimum",-0.00866285586392021,0.00508788423954162,0.0927216228050427,78,-0.676
