"","Modnames","K","AIC","Delta_AIC","ModelLik","AICWt","LL","Cum.Wt"
"2","Tidal height",5,2668.019,0,1,0.696,-1329.009,0.696
"1","Species + Tidal Height",7,2669.674,1.655,0.437,0.304,-1327.837,1
"3","Species",6,2697.982,29.963,0,0,-1342.991,1
"4","Null model",4,2704.777,36.758,0,0,-1348.389,1
