"","Modnames","K","AIC","Delta_AIC","ModelLik","AICWt","LL","Cum.Wt"
"2","Species + Density",6,380.247,0,1,0.769,-184.123,0.769
"1","Species x Density",8,382.657,2.411,0.3,0.231,-183.329,1
"3","Density",4,398.332,18.085,0,0,-195.166,1
"4","Species",5,411.677,31.43,0,0,-200.838,1
"5","Null model",3,420.335,40.089,0,0,-207.168,1
