"","Modnames","K","AIC","Delta_AIC","ModelLik","AICWt","LL","Cum.Wt"
"1","Species",7,4786.274,0,1,0.96,-2386.137,0.96
"2","Null model",5,4792.655,6.381,0.041,0.04,-2391.327,1
