"","metric","slope","std_error","t_value","p_value","duration_yrs","change_temp_C"
"1","maximum",-0.0178326027813759,0.0114254993949941,-1.56077228354578,0.124017832355799,60,-1.07
"2","median",-0.00516638044553041,0.0126431837485003,-0.408629705009488,0.684316278154395,60,-0.31
"3","minimum",0.0173933490877272,0.00817219158714507,2.12835796888158,0.0375671982655878,60,1.044
