"","row","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"36",36,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",5.6,"bare rock","8","36.62183N","121.90516W","","","",2014
"37",37,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",5.7,"bare rock","8","36.62183N","121.90516W","","","",2014
"38",38,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",2.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"39",39,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",8.9,"bare rock","8","36.62183N","121.90516W","","","",2014
"40",40,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",10,"bare rock","8","36.62183N","121.90516W","","","",2014
"41",41,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",8.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"42",42,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",14.7,"bare rock","8","36.62183N","121.90516W","","","",2014
"43",43,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",8.7,"bare rock","8","36.62183N","121.90516W","","","",2014
"44",44,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",12.1,"bare rock","8","36.62183N","121.90516W","","","",2014
"45",45,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",16.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"46",46,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",13.2,"bare rock","8","36.62183N","121.90516W","","","",2014
"47",47,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",10,"bare rock","8","36.62183N","121.90516W","","","",2014
"48",48,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",10.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"49",49,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",11.1,"bare rock","8","36.62183N","121.90516W","","","",2014
"50",50,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",10.6,"bare rock","8","36.62183N","121.90516W","","","",2014
"51",51,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",10.6,"bare rock","8","36.62183N","121.90516W","","","",2014
"52",52,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",7.9,"bare rock","8","36.62183N","121.90516W","","","",2014
"53",53,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",8.2,"bare rock","8","36.62183N","121.90516W","","","",2014
"54",54,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6.2,"bare rock","8","36.62183N","121.90516W","","","",2014
"55",55,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",5.7,"bare rock","8","36.62183N","121.90516W","","","",2014
"56",56,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",10.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"57",57,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"58",58,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",8.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"59",59,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6.7,"bare rock","8","36.62183N","121.90516W","","","",2014
"60",60,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",7.2,"bare rock","8","36.62183N","121.90516W","","","",2014
"61",61,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"62",62,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",7,"bare rock","8","36.62183N","121.90516W","","","",2014
"63",63,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"64",64,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",7.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"65",65,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",8.5,"bare rock","8","36.62183N","121.90516W","","","",2014
"66",66,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",7.1,"bare rock","8","36.62183N","121.90516W","","","",2014
"67",67,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6.9,"bare rock","8","36.62183N","121.90516W","","","",2014
"68",68,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6.7,"bare rock","8","36.62183N","121.90516W","","","",2014
"69",69,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",9,"bare rock","8","36.62183N","121.90516W","","","",2014
"70",70,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",4,"bare rock","8","36.62183N","121.90516W","","","",2014
"71",71,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6.6,"bare rock","8","36.62183N","121.90516W","","","",2014
"72",72,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",7.1,"bare rock","8","36.62183N","121.90516W","","","",2014
"73",73,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",9.1,"bare rock","8","36.62183N","121.90516W","","","",2014
"74",74,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",5,"bare rock","8","36.62183N","121.90516W","","","",2014
"75",75,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",4.9,"bare rock","8","36.62183N","121.90516W","","","",2014
"76",76,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",5.2,"bare rock","8","36.62183N","121.90516W","","","",2014
"77",77,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",7.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"78",78,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6,"bare rock","8","36.62183N","121.90516W","","","",2014
"79",79,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",9.1,"bare rock","8","36.62183N","121.90516W","","","",2014
"80",80,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",7.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"81",81,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",7.7,"bare rock","8","36.62183N","121.90516W","","","",2014
"82",82,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",7.4,"bare rock","8","36.62183N","121.90516W","","","",2014
"83",83,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",5.6,"bare rock","8","36.62183N","121.90516W","","","",2014
"84",84,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",5.8,"bare rock","8","36.62183N","121.90516W","","","",2014
"85",85,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",5.9,"bare rock","8","36.62183N","121.90516W","","","",2014
"86",86,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",5.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"87",87,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",6,"bare rock","8","36.62183N","121.90516W","","","",2014
"88",88,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",7,"bare rock","8","36.62183N","121.90516W","","","",2014
"89",89,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",5.9,"bare rock","8","36.62183N","121.90516W","","","",2014
"90",90,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",4.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"91",91,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",5.5,"bare rock","8","36.62183N","121.90516W","","","",2014
"92",92,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",3.8,"bare rock","8","36.62183N","121.90516W","","","",2014
"93",93,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area1",NA,NA,"zoneA_area1",4.3,"bare rock","8","36.62183N","121.90516W","","","",2014
"94",94,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",16.6,"bare rock","8","36.62183N","121.90516W","","","",2014
"95",95,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",11.5,"bare rock","8","36.62183N","121.90516W","","","",2014
"96",96,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",17.5,"bare rock","8","36.62183N","121.90516W","","","",2014
"97",97,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",16,"bare rock","8","36.62183N","121.90516W","","","",2014
"98",98,"Littorina.keenae","LIKE","HighRock","present",2014-06-20,"zoneA","area2",NA,NA,"zoneA_area2",13.7,"bare rock","8","36.62183N","121.90516W","","","",2014
