"","p.mean","p.sd","p.discrep","quant","sp"
"1",0.497777777777778,0.514777777777778,0.501222222222222,0,"CHFU"
"2",0.503444444444444,0.509888888888889,0.498,0.05,"CHFU"
"3",0.499444444444444,0.515222222222222,0.497,0.1,"CHFU"
"4",0.496777777777778,0.522111111111111,0.513333333333333,0.2,"CHFU"
"5",0.488444444444444,0.529333333333333,0.503555555555556,0.3,"CHFU"
"6",0.505333333333333,0.547777777777778,0.517777777777778,0.4,"CHFU"
"7",0.506222222222222,0.603444444444444,0.509222222222222,0.5,"CHFU"
"8",0.510222222222222,0.582,0.519444444444444,0,"CHFU_means"
"9",0.505,0.648888888888889,0.526,0.05,"CHFU_means"
"10",0.504222222222222,0.655888888888889,0.517222222222222,0.1,"CHFU_means"
"11",0.498222222222222,0.658333333333333,0.532333333333333,0.2,"CHFU_means"
"12",0.499888888888889,0.716666666666667,0.551333333333333,0.3,"CHFU_means"
"13",0.491,0.757444444444444,0.552222222222222,0.4,"CHFU_means"
"14",0.500666666666667,0.814777777777778,0.590777777777778,0.5,"CHFU_means"
"15",0.496555555555556,0.529666666666667,0.503111111111111,0,"LODI"
"16",0.497222222222222,0.527333333333333,0.509666666666667,0.05,"LODI"
"17",0.502,0.536666666666667,0.511888888888889,0.1,"LODI"
"18",0.501333333333333,0.552444444444444,0.512222222222222,0.2,"LODI"
"19",0.508777777777778,0.57,0.508666666666667,0.3,"LODI"
"20",0.511,0.601111111111111,0.519222222222222,0.4,"LODI"
"21",0.505,0.633888888888889,0.521555555555556,0.5,"LODI"
"22",0.500555555555556,0.526333333333333,0.497777777777778,0,"LIKE"
"23",0.493666666666667,0.534888888888889,0.511777777777778,0.05,"LIKE"
"24",0.494555555555556,0.546555555555556,0.511222222222222,0.1,"LIKE"
"25",0.495666666666667,0.538222222222222,0.496333333333333,0.2,"LIKE"
"26",0.505,0.543333333333333,0.517333333333333,0.3,"LIKE"
"27",0.493888888888889,0.546777777777778,0.521,0.4,"LIKE"
"28",0.498777777777778,0.548888888888889,0.519222222222222,0.5,"LIKE"
