"","point_estimate","upper_ci","param","quant","sp"
"1",1.03312165715292,1.08829050601275,"beta0",0,"CHFU"
"2",1.03195130502968,1.08565511518027,"beta1",0,"CHFU"
"3",1.03673109797032,1.09214166455546,"beta2",0,"CHFU"
"4",1.0371097107159,1.09294529115032,"beta3",0,"CHFU"
"5",1.00020831215603,1.00074066663256,"sigma",0,"CHFU"
"6",1.02012746435517,1.06141095037098,"beta0",0.05,"CHFU"
"7",1.01980882552305,1.06054584894413,"beta1",0.05,"CHFU"
"8",1.02572271924715,1.07941079914073,"beta2",0.05,"CHFU"
"9",1.02564774620015,1.07916096768795,"beta3",0.05,"CHFU"
"10",1.00035335408317,1.00077929874437,"sigma",0.05,"CHFU"
"11",1.07386857965011,1.20388904386458,"beta0",0.1,"CHFU"
"12",1.07329729994417,1.20213798677133,"beta1",0.1,"CHFU"
"13",1.07439212970119,1.20772085020018,"beta2",0.1,"CHFU"
"14",1.07409118784684,1.20653439575661,"beta3",0.1,"CHFU"
"15",1.00016705739832,1.0008515079897,"sigma",0.1,"CHFU"
"16",1.03040499712106,1.10450106922112,"beta0",0.2,"CHFU"
"17",1.02640830588468,1.09162781724633,"beta1",0.2,"CHFU"
"18",1.0824379950603,1.26110404869336,"beta2",0.2,"CHFU"
"19",1.0824638042286,1.26120742083452,"beta3",0.2,"CHFU"
"20",1.00010941788006,1.00064348073165,"sigma",0.2,"CHFU"
"21",1.00656071654965,1.02166948579517,"beta0",0.3,"CHFU"
"22",1.00606591671627,1.02075016264942,"beta1",0.3,"CHFU"
"23",1.01210765924954,1.03762958545903,"beta2",0.3,"CHFU"
"24",1.01146453569389,1.03577098640299,"beta3",0.3,"CHFU"
"25",1.00019171525254,1.00083583996348,"sigma",0.3,"CHFU"
"26",0.999970848432584,1.0001815202814,"beta0",0.4,"CHFU"
"27",0.999909274276244,0.999927976386156,"beta1",0.4,"CHFU"
"28",1.00554316320592,1.01923189365152,"beta2",0.4,"CHFU"
"29",1.00525159407692,1.01843029084191,"beta3",0.4,"CHFU"
