"","X2.5.","X25.","X50.","X75.","X97.5.","sp","param"
"1",2.4989947297772,2.52802382769981,2.54260007195067,2.55728378498962,2.58989199704392,"LODI","alpha[1]"
"2",2.48257365929135,2.50867747055947,2.5254044013153,2.54147583716173,2.57120583370604,"LODI","alpha[2]"
"3",2.46095026279219,2.49593947064537,2.51496209290635,2.53423658353662,2.56866820864567,"LODI","alpha[3]"
"4",2.65278009020569,2.67836527661187,2.69227027311566,2.7069352282292,2.73537990646101,"LODI","alpha[4]"
"5",2.47900168262111,2.50321686365609,2.51552359492811,2.52724331374802,2.54992812944676,"LODI","alpha[5]"
"6",2.34744746765541,2.37467753049109,2.38921464894839,2.40341576488246,2.43086517639225,"LODI","alpha[6]"
"7",2.58249787086173,2.60670135442601,2.61787825834719,2.63080501309704,2.65901854192778,"LODI","alpha[7]"
"8",2.61932542938806,2.65343796175048,2.6731712653157,2.69230393925002,2.72964712113264,"LODI","alpha[8]"
"9",-0.33201282042462,-0.310558477702474,-0.299830271919071,-0.289265593412153,-0.270516791720268,"LODI","beta"
"10",2.46203411243181,2.53161085607858,2.56003145171207,2.58806871104937,2.66081802754463,"LODI","mu.alpha"
"11",0.2192917394349,0.225103758076385,0.228270079938145,0.231442855009224,0.23783151402079,"LODI","sigma"
"12",2.16415887173628,2.19030342072621,2.20368553716626,2.21794628501124,2.24552732587021,"LIKE","alpha[1]"
"13",2.34418453824554,2.37088929204005,2.38533180644895,2.40051731281431,2.43048587032086,"LIKE","alpha[2]"
"14",2.39246729023547,2.4197404890058,2.43479644961451,2.44923021945686,2.47699174284668,"LIKE","alpha[3]"
"15",2.69933833745157,2.75473529633376,2.78354447185359,2.8125045990225,2.8674076927936,"LIKE","alpha[4]"
"16",-0.350109170002606,-0.324827001683525,-0.310841701027009,-0.296991631256099,-0.270630356933455,"LIKE","beta"
"17",1.92895468536286,2.33975749759844,2.45327722118706,2.56900413041735,3.03326058471023,"LIKE","mu.alpha"
"18",0.365256777183041,0.374227156335094,0.378871117084167,0.383640712059196,0.394247491968795,"LIKE","sigma"
