"","X2.5.","X25.","X50.","X75.","X97.5.","sp","param"
"1",2.46109256706194,2.51453750020149,2.54201332627236,2.57038025220113,2.62314512722131,"LODI","alpha[1]"
"2",2.48077257972889,2.51691602671453,2.53489236427194,2.55348355298577,2.58866128319487,"LODI","alpha[2]"
"3",2.43953173474678,2.49080875305813,2.51767716067842,2.54480619471192,2.59705569109816,"LODI","alpha[3]"
"4",2.59793943987425,2.63208246158951,2.64959380164979,2.66742189249236,2.70102856289091,"LODI","alpha[4]"
"5",2.38890544823543,2.41215309132991,2.42451916283906,2.43694809583842,2.46079195981824,"LODI","alpha[5]"
"6",2.30876775669529,2.33424124223636,2.34787432794449,2.36157197362359,2.38728888897949,"LODI","alpha[6]"
"7",2.84297672950074,2.87663703280263,2.89390881691586,2.91185589390895,2.94497533390596,"LODI","alpha[7]"
"8",2.61162244450011,2.65313413410325,2.67466936702434,2.69635333746974,2.73748111408034,"LODI","alpha[8]"
"9",-0.385890919178463,-0.328753396891897,-0.297728208059558,-0.266928256434822,-0.209213821426089,"LODI","beta[1]"
"10",-0.390946543853619,-0.341592376537581,-0.315563264935159,-0.289819015988296,-0.240238056968115,"LODI","beta[2]"
"11",-0.395340652020464,-0.331363743446281,-0.297359057560333,-0.264410599750939,-0.200068046909498,"LODI","beta[3]"
"12",-0.298255762473899,-0.253511701133262,-0.231240105005161,-0.208929043532077,-0.166050791271671,"LODI","beta[4]"
"13",-0.0883853978696628,-0.0461186222151689,-0.0245283863222767,-0.00290178909091395,0.0379836133864726,"LODI","beta[5]"
"14",-0.0943646539108146,-0.0228969303929047,0.015938607957744,0.0545713255903278,0.130332218813154,"LODI","beta[6]"
"15",-0.722405017027535,-0.683719700238769,-0.663407934507035,-0.643388785390874,-0.604540051961236,"LODI","beta[7]"
"16",-0.405262480052112,-0.337589657485146,-0.302011602365436,-0.266104425740546,-0.196434273885737,"LODI","beta[8]"
"17",2.41563035787108,2.52732029303503,2.57278795370378,2.61761552907468,2.71968079245801,"LODI","mu.alpha"
"18",-0.446163450181856,-0.320855733645055,-0.263936214555033,-0.207833398114776,-0.0684473307523314,"LODI","mu.beta"
"19",0.19653486345363,0.20202829165114,0.204932864225143,0.207976940670512,0.213908619822168,"LODI","sigma"
"20",2.15883593957872,2.19401435705382,2.21199604030885,2.22977502452441,2.26384403294843,"LIKE","alpha[1]"
"21",2.40356449839118,2.43432779238892,2.4505317331337,2.46695233917633,2.49748273910127,"LIKE","alpha[2]"
"22",2.33307051901289,2.36526596498501,2.38226253197308,2.39909890334166,2.43138206380506,"LIKE","alpha[3]"
"23",2.50534093553395,2.59183506510783,2.63643826799658,2.68152284210259,2.76674059050241,"LIKE","alpha[4]"
"24",-0.386784752380766,-0.343921593074691,-0.321687337276394,-0.299565395867157,-0.257320787899487,"LIKE","beta[1]"
"25",-0.599749880827294,-0.542997264427718,-0.513952391481731,-0.484527923731041,-0.429877704273331,"LIKE","beta[2]"
"26",-0.268733773999653,-0.221635205373893,-0.197183989709095,-0.172674447940592,-0.125659043437609,"LIKE","beta[3]"
"27",-0.229961271314511,-0.123072813280997,-0.0670929490099527,-0.00873276467234757,0.101371840594389,"LIKE","beta[4]"
"28",1.8028974968304,2.310562679596,2.41508214467597,2.52111308995667,2.94726219065156,"LIKE","mu.alpha"
"29",-0.942415240375643,-0.391366551424532,-0.27791384707262,-0.163738025539086,0.36513742690046,"LIKE","mu.beta"
"30",0.360086978931843,0.368615541653626,0.373390238653474,0.378178520753431,0.387698614907565,"LIKE","sigma"
