"","X2.5.","X25.","X50.","X75.","X97.5.","coda_quantile","param","quant"
"1",2.30271408516081,2.31777867083931,2.32727149629456,2.33630811404585,2.35301068308767,"quantile_0.1","alpha","0.1"
"2",-0.293300675579613,-0.268886384766768,-0.256104127179646,-0.243227962586377,-0.220473783770906,"quantile_0.1","beta","0.1"
"3",0.213429997158872,0.218860987029317,0.221811296996346,0.225054836624307,0.23071272870234,"quantile_0.1","sigma","0.1"
"4",2.47869863735755,2.49750558981556,2.50758346348739,2.51700238023236,2.53520531538952,"quantile_0.25","alpha","0.25"
"5",-0.314979458580363,-0.289342269110663,-0.275495194882009,-0.261324285184417,-0.23654257711937,"quantile_0.25","beta","0.25"
"6",0.292063172684879,0.299302565175216,0.30344081012379,0.307649891344682,0.315203580060064,"quantile_0.25","sigma","0.25"
"7",2.61383077511062,2.6327592960723,2.64212271501098,2.65215522127959,2.66909842356789,"quantile_0.5","alpha","0.5"
"8",-0.251917895772833,-0.219900541857312,-0.203772209641297,-0.187070099637397,-0.154736610779815,"quantile_0.5","beta","0.5"
"9",0.33885987243123,0.347596338100207,0.352224763740565,0.357228678849948,0.366707655364244,"quantile_0.5","sigma","0.5"
"10",2.7543368614048,2.76987374278866,2.77869504239528,2.78729379041067,2.80658988841485,"quantile_0.75","alpha","0.75"
"11",-0.0172305240939751,0.0254443534410322,0.0449249343249604,0.0673693607087681,0.113012093084895,"quantile_0.75","beta","0.75"
"12",0.311872117207532,0.319563586408922,0.323794425138899,0.328452053492045,0.337235135523844,"quantile_0.75","sigma","0.75"
"13",2.88616277327751,2.90008073184145,2.90830209687848,2.91729403491627,2.93792163895615,"quantile_0.9","alpha","0.9"
"14",0.163786035412708,0.188633855334396,0.202925239805421,0.21987092250183,0.257767613934736,"quantile_0.9","beta","0.9"
"15",0.224387249041256,0.230465539726989,0.233724173244202,0.237056018841601,0.243591083542994,"quantile_0.9","sigma","0.9"
