Date,Roy2003,Fisher2009,Elahi2015
1882-03-16,13.12989616,2.627708197,
1882-04-16,14.04382896,3.32953763,
1882-05-16,14.64429474,5.73856163,
1882-06-16,15.69778633,9.20165062,
1882-07-16,16.85665512,12.66090393,
1882-08-16,18.39785385,13.70302773,
1882-09-16,18.02134132,12.87201691,
1882-10-16,17.49180031,10.49596977,
1882-11-16,16.12760544,7.893588066,
1882-12-16,14.58485413,5.046334267,
1883-01-16,13.32642746,3.721237421,
1883-02-15,13.62771988,3.122456789,
1883-03-16,14.02789688,2.491458178,
1883-04-16,15.19082832,3.23166275,
1883-05-16,15.69329453,5.863061905,
1883-06-16,16.71178627,9.798399925,
1883-07-16,17.75465775,13.09240341,
1883-08-16,19.21285629,13.7867775,
1883-09-16,18.57464027,12.42714214,
1883-10-16,17.32180023,9.956594467,
1883-11-16,16.39060593,7.81183815,
1883-12-16,14.66585445,5.302333832,
1884-01-16,14.02842712,4.45111227,
1884-02-15,13.98171997,3.667457104,
1884-03-16,14.42289734,3.643583298,
1884-04-16,15.53682899,4.111162663,
1884-05-16,15.64329529,6.700562,
1884-06-16,16.43678665,9.864774704,
1884-07-16,18.22665787,13.12340355,
1884-08-16,19.53985596,14.2110281,
1884-09-16,19.00334167,13.02626705,
1884-10-16,18.2329998,10.76572037,
1884-11-16,16.98360634,8.282087326,
1884-12-16,15.96085453,5.764459133,
1885-01-16,14.98642731,4.264612675,
1885-02-15,14.89271927,2.974956989,
1885-03-16,15.22889709,2.47608304,
1885-04-16,16.26282883,3.273912668,
1885-05-16,16.93629456,6.068061829,
1885-06-16,16.96378708,9.166275024,
1885-07-16,18.04965591,12.84565353,
1885-08-16,20.07985306,14.22940254,
1885-09-16,19.93334198,12.78964233,
1885-10-16,18.73769188,10.35321999,
1885-11-16,17.78660583,7.839462757,
1885-12-16,16.49285507,5.229084015,
1886-01-16,15.32542801,4.127362728,
1886-02-15,14.47771835,2.893707037,
1886-03-16,14.64489746,2.848833084,
1886-04-16,14.98182869,3.994287729,
1886-05-16,15.78529453,6.590312004,
1886-06-16,16.66378593,9.357650757,
1886-07-16,18.31565475,13.65577888,
1886-08-16,18.85485458,14.39702797,
1886-09-16,18.80134201,13.29751778,
1886-10-16,17.65380096,11.02746964,
1886-11-16,16.20860481,8.68221283,
1886-12-16,14.53485394,6.243333817,
1887-01-16,13.55742741,4.668987274,
1887-02-15,13.25971985,3.748831987,
1887-03-16,13.46889687,3.138285637,
1887-04-16,14.25182915,3.807287693,
1887-05-16,14.81729507,6.559436798,
1887-06-16,15.82078552,10.20452499,
1887-07-16,17.35665512,15.84577942,
1887-08-16,18.12127686,14.31402779,
1887-09-16,18.16134262,13.16601753,
1887-10-16,17.25310135,10.60472012,
1887-11-16,16.25960541,7.994213104,
1887-12-16,15.09661484,5.751208782,
1888-01-16,13.91442776,4.160362244,
1888-02-15,14.09071922,2.947331905,
1888-03-16,14.61589622,2.41933322,
1888-04-16,15.58882904,2.79403758,
1888-05-16,16.24629593,6.308311939,
1888-06-16,17.30578613,9.773275375,
1888-07-16,17.2216568,13.05340385,
1888-08-16,19.11385345,13.59602737,
1888-09-16,20.55134201,13.15101719,
1888-10-16,18.98279953,9.775381088,
1888-11-16,17.81660461,7.516087532,
1888-12-16,17.0558548,4.528334141,
1889-01-16,16.45642853,3.548987389,
1889-02-15,15.34671974,2.740831852,
1889-03-16,15.18089676,2.322208166,
1889-04-16,15.53082848,3.406912565,
1889-05-16,16.16929626,6.730062008,
1889-06-16,18.20878601,10.66489983,
1889-07-16,18.34265518,13.98735523,
1889-08-16,19.53685379,13.89752769,
1889-09-16,19.43734169,13.24051666,
1889-10-16,18.09280014,10.7417202,
1889-11-16,17.19760513,8.267337799,
1889-12-16,15.07685375,5.802709103,
1890-01-16,12.99442673,3.773987293,
1890-02-15,13.5447197,2.917207003,
1890-03-16,14.25689697,2.625833035,
1890-04-16,14.78482819,3.21891284,
1890-05-16,14.80229473,6.032311916,
1890-06-16,15.55078697,9.679525375,
1890-07-16,17.25265503,13.32902813,
1890-08-16,19.06385422,14.59127808,
1890-09-16,18.41134262,13.36451721,
1890-10-16,17.82579994,10.82496929,
1890-11-16,16.31360626,7.88746357,
1890-12-16,15.28885365,5.080459118,
1891-01-16,13.99542713,3.614487171,
1891-02-15,13.89571953,2.6527071,
1891-03-16,14.48389626,2.186333179,
1891-04-16,15.4668293,2.863037586,
1891-05-16,16.32429504,5.60218668,
1891-06-16,17.10278702,9.360275269,
1891-07-16,18.35765839,12.89152908,
1891-08-16,19.75385666,14.0109024,
1891-09-16,19.67134094,13.01339245,
1891-10-16,18.85180092,10.7573452,
1891-11-16,17.25101089,8.217712402,
1891-12-16,15.73485374,6.173334122,
1892-01-16,14.1614275,4.872987747,
1892-02-15,14.03171921,3.910706997,
1892-03-16,13.69089699,2.771208286,
1892-04-16,14.12582779,3.313162804,
1892-05-16,14.21129417,5.835937023,
1892-06-16,15.19778633,9.567525864,
1892-07-16,16.47665787,13.27240372,
1892-08-16,18.22085571,15.54160976,
1892-09-16,18.21534157,13.6431427,
1892-10-16,17.36085129,10.70022011,
1892-11-16,16.11751747,8.289587975,
1892-12-16,14.38785458,5.587209225,
1893-01-16,13.86642742,4.143612862,
1893-02-15,13.54571915,2.764956951,
1893-03-16,13.65589714,2.753708124,
1893-04-16,14.38182831,3.208787441,
1893-05-16,14.23029518,5.801311493,
1893-06-16,15.51478577,9.740525246,
1893-07-16,16.61565781,13.46990395,
1893-08-16,17.91585541,14.28965282,
1893-09-16,17.49834251,12.72201729,
1893-10-16,17.08180046,10.80109406,
1893-11-16,15.92760468,8.696088791,
1893-12-16,14.43985367,6.547208786,
1894-01-16,13.50042725,4.837112427,
1894-02-15,12.93771935,3.81020689,
1894-03-16,13.04489708,3.030458212,
1894-04-16,13.57582855,4.121788025,
1894-05-16,14.00929451,6.618561745,
1894-06-16,14.87778664,10.14502525,
1894-07-16,17.30065536,13.70927906,
1894-08-16,18.34585571,14.81527805,
1894-09-16,17.96834183,13.71776772,
1894-10-16,17.59080124,11.4179697,
1894-11-16,16.29260635,8.686337471,
1894-12-16,15.39385414,6.111333847,
1895-01-16,14.31642723,4.351362228,
1895-02-15,14.53271866,3.045582056,
1895-03-16,14.28789711,2.190958261,
1895-04-16,15.30028725,3.512184143,
1895-05-16,15.32529449,6.806937218,
1895-06-16,16.37578583,10.50852585,
1895-07-16,17.20665741,13.64815426,
1895-08-16,18.44885635,14.41102791,
1895-09-16,18.96134186,13.16719818,
1895-10-16,18.39780045,10.29209518,
1895-11-16,17.00185394,8.311588287,
1895-12-16,15.50785446,5.818959236,
1896-01-16,14.6454277,4.532286644,
1896-02-15,14.76171875,2.965581894,
1896-03-16,14.79189682,2.58695817,
1896-04-16,15.19782829,3.628037691,
1896-05-16,15.59729481,6.360937119,
1896-06-16,16.2557869,9.691525459,
1896-07-16,18.43865585,14.54045868,
1896-08-16,19.76685333,13.75952721,
1896-09-16,19.8313427,12.62914276,
1896-10-16,18.63980103,10.29696846,
1896-11-16,17.24560547,8.487213135,
1896-12-16,16.00885391,6.158958912,
1897-01-16,15.2704277,4.446737289,
1897-02-15,14.84972,3.651331902,
1897-03-16,14.84789658,3.379458427,
1897-04-16,15.81682777,4.274787903,
1897-05-16,16.41829491,6.628436565,
1897-06-16,17.3277874,10.12777519,
1897-07-16,18.33265686,13.48790359,
1897-08-16,19.44785309,14.67727852,
1897-09-16,19.2063427,13.29414177,
1897-10-16,18.5428009,10.29434395,
1897-11-16,16.72860527,7.886375904,
1897-12-16,15.46985435,5.75980711,
1898-01-16,14.27242756,4.147862434,
1898-02-15,14.0657196,3.296832085,
1898-03-16,13.91289711,2.846708298,
1898-04-16,14.38382912,3.901787758,
1898-05-16,14.67629433,6.072034359,
1898-06-16,16.11078644,9.647274971,
1898-07-16,17.78965759,12.60090351,
1898-08-16,18.68885422,15.34541607,
1898-09-16,19.62934113,13.43089199,
1898-10-16,17.92080116,10.82009411,
1898-11-16,16.53860474,7.880713463,
1898-12-16,15.74985409,4.879622459,
