study,study_long,study_lat,hadLong,hadLat,hadYear1,hadYear2
Roy2003,-117.816,33.555,-117.824,33.542,1859,2001
Fisher2009,-68.369,44.255,-68.385,44.234,1905,2007
Elahi2015,-121.9049,36.62186,-122.0001,36.629,1937,2015
