"","X2.5.","X25.","X50.","X75.","X97.5.","coda_quantile","param","quant","sp"
"1",1.20039536612628,1.20610977725888,1.20907385028233,1.21201346340893,1.21778699755298,"quantile_0","beta0","0","CHFU"
"2",-0.093067844991169,-0.086873224781901,-0.0836598984879164,-0.0805263811210745,-0.0743978347751612,"quantile_0","beta1","0","CHFU"
"3",0.122479602361471,0.123917249759516,0.124681727305737,0.125433134684031,0.126892131477306,"quantile_0","sigma","0","CHFU"
"4",-0.191559193460254,-0.18048613528844,-0.17493570293454,-0.169039551298504,-0.15707705325036,"quantile_0","prop_change","0","CHFU"
"5",1.22175379338871,1.22626100945069,1.22856399881834,1.23090768123222,1.2350588225845,"quantile_0.05","beta0","0.05","CHFU"
"6",-0.0879735060957416,-0.0834379679720024,-0.0810294132697857,-0.0784852603791978,-0.0737152536847975,"quantile_0.05","beta1","0.05","CHFU"
"7",0.0940183944006085,0.0951537787230237,0.0957514023606039,0.0963281432099257,0.0974911126094675,"quantile_0.05","sigma","0.05","CHFU"
"8",-0.183853815688017,-0.17478027756714,-0.169896831373577,-0.165124493954837,-0.156189766140049,"quantile_0.05","prop_change","0.05","CHFU"
"9",1.25042220223438,1.25446754343535,1.25651665057959,1.25853186806854,1.26250624199044,"quantile_0.1","beta0","0.1","CHFU"
"10",-0.0974312284179364,-0.0932151308277536,-0.0910272287933838,-0.0888327945730858,-0.0844645669263128,"quantile_0.1","beta1","0.1","CHFU"
"11",0.076079519322728,0.0770097176308244,0.0775250485334344,0.0780389636080842,0.0789777861829923,"quantile_0.1","sigma","0.1","CHFU"
"12",-0.200030773840118,-0.192967673184714,-0.189069342364415,-0.185075139401504,-0.177699026602723,"quantile_0.1","prop_change","0.1","CHFU"
"13",1.29057425781742,1.29341206756082,1.29489824227516,1.29646266419522,1.29947343108794,"quantile_0.2","beta0","0.2","CHFU"
"14",-0.0670093375269439,-0.0636139378982035,-0.0618213003546289,-0.0601427480267192,-0.0569257590514085,"quantile_0.2","beta1","0.2","CHFU"
"15",0.0529065611817706,0.0538311197711381,0.0543431426885589,0.0548494215177122,0.0558410978825188,"quantile_0.2","sigma","0.2","CHFU"
"16",-0.142974419911433,-0.136324445852173,-0.133043917871686,-0.129580712494955,-0.122480850041263,"quantile_0.2","prop_change","0.2","CHFU"
"17",1.32719141324159,1.32973110908076,1.331109382309,1.33247756154865,1.33506364425129,"quantile_0.3","beta0","0.3","CHFU"
"18",-0.0534078533074356,-0.0502308742572452,-0.0486021689172681,-0.0469526067297329,-0.0437804394830457,"quantile_0.3","beta1","0.3","CHFU"
"19",0.0379997569047872,0.0389595105333824,0.0394751018016894,0.0399970439318272,0.0410341084247025,"quantile_0.3","sigma","0.3","CHFU"
"20",-0.115498859159899,-0.109151146827157,-0.105848091186216,-0.102597494440624,-0.0960263885369189,"quantile_0.3","prop_change","0.3","CHFU"
"21",1.36192018969068,1.36474418070078,1.36620373864313,1.36769596136865,1.37033647201459,"quantile_0.4","beta0","0.4","CHFU"
"22",-0.0445373935789633,-0.0402502974746879,-0.0379398784845651,-0.0356275004115715,-0.0313273113497672,"quantile_0.4","beta1","0.4","CHFU"
"23",0.0314650181934011,0.0328903602359168,0.0336615996188214,0.0344689710936152,0.0360725671837476,"quantile_0.4","sigma","0.4","CHFU"
"24",-0.0969064908638323,-0.088329416735878,-0.0835833189148218,-0.0786641113258208,-0.0692490382863014,"quantile_0.4","prop_change","0.4","CHFU"
"25",1.3915000490046,1.39511883555868,1.39697245402473,1.39883647465004,1.40235454481484,"quantile_0.5","beta0","0.5","CHFU"
"26",-0.0432308443320456,-0.0307636087471389,-0.0243808968229228,-0.0179863977232239,-0.00573176304180876,"quantile_0.5","beta1","0.5","CHFU"
"27",0.0279679728638743,0.0301425328101374,0.0313949147886573,0.0327288012635914,0.0355801758425399,"quantile_0.5","sigma","0.5","CHFU"
"28",-0.0942467178029879,-0.0685118183371826,-0.0545037310001493,-0.0402055334580005,-0.0127617122618197,"quantile_0.5","prop_change","0.5","CHFU"
"29",1.22416278671822,1.23944144363917,1.24714181635879,1.25488252857456,1.26969616283307,"quantile_0","beta0","0","CHFU_means"
"30",-0.0929727601436071,-0.0740777779878665,-0.0642825499522371,-0.0542946306253924,-0.0348488092727645,"quantile_0","beta1","0","CHFU_means"
"31",0.0604764035736866,0.0661957842955213,0.0695557183051572,0.0731841811176527,0.0815197615967678,"quantile_0","sigma","0","CHFU_means"
"32",-0.195121846391042,-0.158023681667778,-0.138244666496954,-0.118029593305672,-0.0768904036147348,"quantile_0","prop_change","0","CHFU_means"
"33",1.23517245400147,1.24706741850628,1.25303666019801,1.25905267438807,1.27055216677263,"quantile_0.05","beta0","0.05","CHFU_means"
"34",-0.0465446148793376,-0.0303482527187012,-0.0219130794574013,-0.0133261585200746,0.00245870376766167,"quantile_0.05","beta1","0.05","CHFU_means"
"35",0.0438528867087658,0.0488788193428542,0.0517967974872805,0.0549523206038097,0.0621013762705395,"quantile_0.05","sigma","0.05","CHFU_means"
"36",-0.102080774081515,-0.0679715705031364,-0.0499639031935712,-0.0314194479281255,0.00722215642896465,"quantile_0.05","prop_change","0.05","CHFU_means"
"37",1.24738005048915,1.25865923273789,1.26451972435442,1.27036136288214,1.28131201960478,"quantile_0.1","beta0","0.1","CHFU_means"
"38",-0.0475443273490088,-0.0317543601655274,-0.0235504008052011,-0.015497517442249,-0.000204644775089633,"quantile_0.1","beta1","0.1","CHFU_means"
