"","p.mean","p.sd","p.discrep","quant","sp"
"1",0.51,0.506555555555556,0.502111111111111,0,"CHFU"
"2",0.501111111111111,0.509777777777778,0.505555555555556,0.05,"CHFU"
"3",0.507111111111111,0.501444444444444,0.499333333333333,0.1,"CHFU"
"4",0.500333333333333,0.508333333333333,0.503777777777778,0.2,"CHFU"
"5",0.498444444444444,0.509222222222222,0.502555555555556,0.3,"CHFU"
"6",0.502555555555556,0.524222222222222,0.515,0.4,"CHFU"
"7",0.499222222222222,0.556111111111111,0.522666666666667,0.5,"CHFU"
"8",0.504444444444444,0.553444444444444,0.522111111111111,0,"CHFU_means"
"9",0.499777777777778,0.563,0.516,0.05,"CHFU_means"
"10",0.495333333333333,0.563888888888889,0.523333333333333,0.1,"CHFU_means"
"11",0.498111111111111,0.572333333333333,0.535,0.2,"CHFU_means"
"12",0.500777777777778,0.610222222222222,0.529444444444444,0.3,"CHFU_means"
"13",0.496222222222222,0.648888888888889,0.567333333333333,0.4,"CHFU_means"
"14",0.506333333333333,0.693888888888889,0.578555555555556,0.5,"CHFU_means"
"15",0.502333333333333,0.529222222222222,0.508555555555556,0,"LODI"
"16",0.492222222222222,0.516666666666667,0.516444444444444,0.05,"LODI"
"17",0.502666666666667,0.519111111111111,0.502333333333333,0.1,"LODI"
"18",0.498,0.522111111111111,0.513666666666667,0.2,"LODI"
"19",0.496777777777778,0.532666666666667,0.512555555555556,0.3,"LODI"
"20",0.499777777777778,0.532333333333333,0.506444444444444,0.4,"LODI"
"21",0.502111111111111,0.559222222222222,0.514777777777778,0.5,"LODI"
"22",0.505111111111111,0.517222222222222,0.514777777777778,0,"LIKE"
"23",0.484777777777778,0.518777777777778,0.507777777777778,0.05,"LIKE"
"24",0.509333333333333,0.511222222222222,0.501555555555556,0.1,"LIKE"
"25",0.505777777777778,0.516444444444444,0.508,0.2,"LIKE"
"26",0.509333333333333,0.512555555555556,0.511111111111111,0.3,"LIKE"
"27",0.492444444444444,0.523333333333333,0.504555555555556,0.4,"LIKE"
"28",0.495666666666667,0.524666666666667,0.508111111111111,0.5,"LIKE"
