"","point_estimate","upper_ci","param","quant","sp"
"1",1.00135129571878,1.00518716365465,"beta0",0,"CHFU"
"2",1.00114802171171,1.00421341014746,"beta1",0,"CHFU"
"3",1.00090152636698,1.00232664242142,"sigma",0,"CHFU"
"4",1.01156372642356,1.0404578369602,"beta0",0.05,"CHFU"
"5",1.01113849465541,1.03931000894305,"beta1",0.05,"CHFU"
"6",1.0008930288479,1.00160567629288,"sigma",0.05,"CHFU"
"7",1.00308461649774,1.0087987776656,"beta0",0.1,"CHFU"
"8",1.00366759416136,1.01066610936992,"beta1",0.1,"CHFU"
"9",1.00006497234941,1.00051821724296,"sigma",0.1,"CHFU"
"10",1.00129556259442,1.00505908790571,"beta0",0.2,"CHFU"
"11",1.00116925775912,1.00462061817522,"beta1",0.2,"CHFU"
"12",0.99988355911247,0.99989551499387,"sigma",0.2,"CHFU"
"13",1.00109576507343,1.00387704347223,"beta0",0.3,"CHFU"
"14",1.00127854742817,1.00483469691914,"beta1",0.3,"CHFU"
"15",1.00003694424309,1.00031219071489,"sigma",0.3,"CHFU"
"16",1.00078583247392,1.00202497944994,"beta0",0.4,"CHFU"
"17",1.00047676259024,1.00188730149134,"beta1",0.4,"CHFU"
"18",1.00025467196957,1.00108006677681,"sigma",0.4,"CHFU"
"19",1.00054276619969,1.00183252716262,"beta0",0.5,"CHFU"
"20",1.00024638747723,1.00127676606769,"beta1",0.5,"CHFU"
"21",1.00088512045944,1.00258315559142,"sigma",0.5,"CHFU"
"22",1.00053390065709,1.00206600541989,"beta0",0,"CHFU_means"
"23",1.00095281417739,1.00372032367258,"beta1",0,"CHFU_means"
"24",1.00017633593581,1.0008842147034,"sigma",0,"CHFU_means"
"25",1.00017958358252,1.00107859744354,"beta0",0.05,"CHFU_means"
"26",1.00048244053024,1.00211443615626,"beta1",0.05,"CHFU_means"
"27",0.999949820903207,1.00024857374839,"sigma",0.05,"CHFU_means"
"28",1.00139535321043,1.00521641699699,"beta0",0.1,"CHFU_means"
"29",1.00139928160326,1.005224865981,"beta1",0.1,"CHFU_means"
"30",1.00194814890794,1.00431742823624,"sigma",0.1,"CHFU_means"
"31",1.00058763465964,1.00216501615544,"beta0",0.2,"CHFU_means"
"32",1.00088676279703,1.00348279839005,"beta1",0.2,"CHFU_means"
"33",1.00037916510735,1.00165736789888,"sigma",0.2,"CHFU_means"
"34",1.00003994839082,1.00018838437086,"beta0",0.3,"CHFU_means"
"35",1.00020833984489,1.00036493524704,"beta1",0.3,"CHFU_means"
"36",1.00118556226939,1.00336914668969,"sigma",0.3,"CHFU_means"
"37",1.00018630024297,1.00074687506288,"beta0",0.4,"CHFU_means"
"38",1.00057526222478,1.00090565888332,"beta1",0.4,"CHFU_means"
"39",1.00208420496049,1.00554095307981,"sigma",0.4,"CHFU_means"
"40",0.999991842594922,1.00030887231601,"beta0",0.5,"CHFU_means"
"41",1.00021793859646,1.00079412994845,"beta1",0.5,"CHFU_means"
"42",1.00082938438179,1.00319654096839,"sigma",0.5,"CHFU_means"
"43",1.00039732823039,1.00186984902989,"beta0",0,"LODI"
"44",1.0007099039972,1.00292686221984,"beta1",0,"LODI"
"45",1.00010465854482,1.00069746533375,"sigma",0,"LODI"
"46",1.00211556602113,1.00794541677817,"beta0",0.05,"LODI"
"47",1.00167176521613,1.00639976958588,"beta1",0.05,"LODI"
"48",1.00014165793548,1.00055736868864,"sigma",0.05,"LODI"
"49",1.00095552137112,1.00373560579738,"beta0",0.1,"LODI"
"50",1.00123020332635,1.0049463724992,"beta1",0.1,"LODI"
"51",1.00001202729618,1.00012765391694,"sigma",0.1,"LODI"
"52",1.0004527785863,1.00176947832729,"beta0",0.2,"LODI"
"53",1.00022238141377,1.00119804961771,"beta1",0.2,"LODI"
"54",1.00000276322091,1.00035321206927,"sigma",0.2,"LODI"
"55",1.00049190350247,1.00185321707315,"beta0",0.3,"LODI"
"56",0.999960193018729,1.00014080246342,"beta1",0.3,"LODI"
"57",1.00010309174111,1.00020864872929,"sigma",0.3,"LODI"
"58",0.999986012073769,1.00023641899797,"beta0",0.4,"LODI"
"59",0.999937088494818,1.0001820007594,"beta1",0.4,"LODI"
"60",1.00134637648545,1.00371849612617,"sigma",0.4,"LODI"
"61",1.00001107794939,1.00048039490314,"beta0",0.5,"LODI"
"62",0.999911876918413,1.00005886869518,"beta1",0.5,"LODI"
"63",1.00047686332569,1.00096378421885,"sigma",0.5,"LODI"
"64",1.00077215646886,1.00312734299539,"beta0",0,"LIKE"
"65",1.0006869732267,1.00248470394269,"beta1",0,"LIKE"
"66",1.00060024625812,1.00112392617784,"sigma",0,"LIKE"
"67",1.00172678226907,1.00646003198093,"beta0",0.05,"LIKE"
"68",1.00136339250456,1.0046623162831,"beta1",0.05,"LIKE"
"69",1.00069773996711,1.00165638060272,"sigma",0.05,"LIKE"
"70",0.999995718594341,1.00036398871243,"beta0",0.1,"LIKE"
"71",1.00011709035537,1.00043641914572,"beta1",0.1,"LIKE"
"72",1.00010956587009,1.00033357792366,"sigma",0.1,"LIKE"
"73",1.00014750543553,1.00070985962624,"beta0",0.2,"LIKE"
"74",1.00021569001116,1.00118020182484,"beta1",0.2,"LIKE"
"75",1.00167333435911,1.00530565652434,"sigma",0.2,"LIKE"
"76",1.00042263477603,1.00142917233746,"beta0",0.3,"LIKE"
"77",0.999893023466665,0.999940846578336,"beta1",0.3,"LIKE"
"78",1.00068687437913,1.00198457091993,"sigma",0.3,"LIKE"
"79",1.00047914632276,1.0022101382095,"beta0",0.4,"LIKE"
"80",1.00048780860044,1.00217725726053,"beta1",0.4,"LIKE"
"81",1.00013398309656,1.00070688182095,"sigma",0.4,"LIKE"
"82",1.00014775594807,1.00092752135272,"beta0",0.5,"LIKE"
"83",1.000119001001,1.0008178989958,"beta1",0.5,"LIKE"
"84",1.00022227343063,1.00117118684377,"sigma",0.5,"LIKE"
