"","study","studySub","fig_table","species","site","size_original","size_rep","size_units","size_error","size_error_type","time_rep","time_error","era","year","year_error","year_error_type","sample_size","sample_size_units","museum","size_threshold_mm","latitude","longitude"
"1","Fisher_2009",NA,"Figure_1","Nucella lamellosa","Mount Desert Island, Maine","raw",24.100607111882,"mm",3.89403139867579,"SD",NA,NA,"past",1918,NA,NA,1153,"total number of snails",TRUE,0,44.2553654,-68.36960568
"2","Fisher_2009",NA,"Figure_1","Nucella lamellosa","Mount Desert Island, Maine","raw",28.1442307692308,"mm",2.18281687902126,"SD",NA,NA,"past",1918,NA,NA,416,"total number of snails",TRUE,26,44.2553654,-68.36960568
"3","Fisher_2009",NA,"Figure_1","Nucella lamellosa","Mount Desert Island, Maine","raw",29.339373970346,"mm",5.28371446534865,"SD",NA,NA,"present",2007,NA,NA,607,"total number of snails",TRUE,0,44.2553654,-68.36960568
"4","Fisher_2009",NA,"Figure_1","Nucella lamellosa","Mount Desert Island, Maine","raw",31.5311827956989,"mm",3.65240764046364,"SD",NA,NA,"present",2007,NA,NA,465,"total number of snails",TRUE,26,44.2553654,-68.36960568
