"","study","Date","Temperature_C","Year","hadLong","hadLat"
"1","Roy2003",1870-01-16,14.727427482605,1870,-117.824,33.542
"2","Roy2003",1870-02-14,14.1017189025879,1870,-117.824,33.542
"3","Roy2003",1870-03-16,14.372896194458,1870,-117.824,33.542
"4","Roy2003",1870-04-15,14.1088285446167,1870,-117.824,33.542
"5","Roy2003",1870-05-16,14.5682945251465,1870,-117.824,33.542
"6","Roy2003",1870-06-16,15.3367862701416,1870,-117.824,33.542
"7","Roy2003",1870-07-16,17.2946548461914,1870,-117.824,33.542
"8","Roy2003",1870-08-16,18.7268562316895,1870,-117.824,33.542
"9","Roy2003",1870-09-16,19.6163425445557,1870,-117.824,33.542
"10","Roy2003",1870-10-16,18.6798000335693,1870,-117.824,33.542
"11","Roy2003",1870-11-16,17.5236053466797,1870,-117.824,33.542
"12","Roy2003",1870-12-16,15.292854309082,1870,-117.824,33.542
"13","Roy2003",1871-01-16,14.5294275283813,1871,-117.824,33.542
"14","Roy2003",1871-02-15,13.2937183380127,1871,-117.824,33.542
"15","Roy2003",1871-03-16,13.5338973999023,1871,-117.824,33.542
"16","Roy2003",1871-04-16,14.3968276977539,1871,-117.824,33.542
"17","Roy2003",1871-05-16,14.8292951583862,1871,-117.824,33.542
"18","Roy2003",1871-06-16,15.6117858886719,1871,-117.824,33.542
"19","Roy2003",1871-07-16,17.1726570129395,1871,-117.824,33.542
"20","Roy2003",1871-08-16,18.5368537902832,1871,-117.824,33.542
"21","Roy2003",1871-09-16,18.6073417663574,1871,-117.824,33.542
"22","Roy2003",1871-10-16,18.0318012237549,1871,-117.824,33.542
"23","Roy2003",1871-11-16,16.927604675293,1871,-117.824,33.542
"24","Roy2003",1871-12-16,15.0458545684814,1871,-117.824,33.542
"25","Roy2003",1872-01-16,13.7444276809692,1872,-117.824,33.542
"26","Roy2003",1872-02-15,13.3497180938721,1872,-117.824,33.542
"27","Roy2003",1872-03-16,13.3718967437744,1872,-117.824,33.542
"28","Roy2003",1872-04-16,14.1138286590576,1872,-117.824,33.542
"29","Roy2003",1872-05-16,14.687294960022,1872,-117.824,33.542
"30","Roy2003",1872-06-16,15.730785369873,1872,-117.824,33.542
"31","Roy2003",1872-07-16,17.029655456543,1872,-117.824,33.542
"32","Roy2003",1872-08-16,18.2918548583984,1872,-117.824,33.542
"33","Roy2003",1872-09-16,18.2273426055908,1872,-117.824,33.542
"34","Roy2003",1872-10-16,17.3758010864258,1872,-117.824,33.542
