length_in,length_mm,count_A,count_B,count_C,count_D
0.14,3.6,3,0,0,0
0.18,4.6,15,0,2,0
0.22,5.6,26,0,3,0
0.26,6.6,7,0,6,0
0.3,7.6,10,5,17,0
0.34,8.6,19,7,18,0
0.38,9.7,15,19,23,1
0.42,10.7,24,56,28,1
0.46,11.7,24,58,45,2
0.5,12.7,33,51,34,2
0.54,13.7,10,33,25,8
0.58,14.7,9,10,11,10
0.62,15.7,1,0,3,8
