"","row","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"36",36,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12,NA,6,"36.62192N","121.90527W",NA,"","",1950
"37",37,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12,NA,6,"36.62192N","121.90527W",NA,"","",1950
"38",38,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12,NA,6,"36.62192N","121.90527W",NA,"","",1950
"39",39,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.1,NA,6,"36.62192N","121.90527W",NA,"","",1950
"40",40,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.1,NA,6,"36.62192N","121.90527W",NA,"","",1950
"41",41,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.1,NA,6,"36.62192N","121.90527W",NA,"","",1950
"42",42,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.4,NA,6,"36.62192N","121.90527W",NA,"","",1950
"43",43,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.4,NA,6,"36.62192N","121.90527W",NA,"","",1950
"44",44,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.5,NA,6,"36.62192N","121.90527W",NA,"","",1950
"45",45,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.5,NA,6,"36.62192N","121.90527W",NA,"","",1950
"46",46,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.6,NA,6,"36.62192N","121.90527W",NA,"","",1950
"47",47,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.6,NA,6,"36.62192N","121.90527W",NA,"","",1950
"48",48,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.7,NA,6,"36.62192N","121.90527W",NA,"","",1950
"49",49,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.7,NA,6,"36.62192N","121.90527W",NA,"","",1950
"50",50,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.7,NA,6,"36.62192N","121.90527W",NA,"","",1950
"51",51,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.8,NA,6,"36.62192N","121.90527W",NA,"","",1950
"52",52,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.8,NA,6,"36.62192N","121.90527W",NA,"","",1950
"53",53,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.8,NA,6,"36.62192N","121.90527W",NA,"","",1950
"54",54,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.9,NA,6,"36.62192N","121.90527W",NA,"","",1950
"55",55,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.9,NA,6,"36.62192N","121.90527W",NA,"","",1950
"56",56,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.9,NA,6,"36.62192N","121.90527W",NA,"","",1950
"57",57,"Lottia.digitalis","LODI","areaA","past",1950-07-01,"zone2",NA,NA,NA,"3x2ft_rect",12.9,NA,6,"36.62192N","121.90527W",NA,"","",1950
