length_mm,count_All,count_A,count_B,count_C,count_D
0.0,0,NA,0,NA,0
2.0,31,NA,0,NA,0
4.0,92,NA,0,NA,1
6.0,99,NA,0,NA,15
8.0,138,NA,3,NA,46
10.0,150,NA,2,NA,52
12.0,165,NA,5,NA,62
14.0,173,NA,6,NA,82
16.0,181,NA,16,NA,100
18.0,219,NA,15,NA,102
20.0,246,NA,16,NA,93
22.0,222,NA,15,NA,74
24.0,143,NA,11,NA,50
26.0,68,NA,4,NA,31
28.0,23,NA,1,NA,12
30.0,3,NA,1,NA,2
32.0,0,NA,0,NA,0
