1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 9F00000030B57021
Is Mission Active?  true
Mission Start:  Sat Aug 01 00:15:00 PDT 2015
Sample Rate:  Every 30 minute(s)
Number of Mission Samples:  2997
Total Samples:  92656
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  70 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
8/1/15 12:15:00 AM,C,15.5
8/1/15 12:45:00 AM,C,15.5
8/1/15 1:15:00 AM,C,16
8/1/15 1:45:00 AM,C,16
8/1/15 2:15:00 AM,C,16
8/1/15 2:45:00 AM,C,16
8/1/15 3:15:00 AM,C,16
8/1/15 3:45:00 AM,C,16
8/1/15 4:15:00 AM,C,16
8/1/15 4:45:00 AM,C,16
8/1/15 5:15:00 AM,C,16
8/1/15 5:45:00 AM,C,16
8/1/15 6:15:00 AM,C,16
8/1/15 6:45:00 AM,C,16
8/1/15 7:15:00 AM,C,16.5
8/1/15 7:45:00 AM,C,16.5
8/1/15 8:15:00 AM,C,16.5
8/1/15 8:45:00 AM,C,17
8/1/15 9:15:00 AM,C,17
8/1/15 9:45:00 AM,C,17.5
8/1/15 10:15:00 AM,C,18
8/1/15 10:45:00 AM,C,18.5
8/1/15 11:15:00 AM,C,23
8/1/15 11:45:00 AM,C,26
8/1/15 12:15:00 PM,C,26.5
8/1/15 12:45:00 PM,C,24.5
8/1/15 1:15:00 PM,C,22
8/1/15 1:45:00 PM,C,20
8/1/15 2:15:00 PM,C,20
8/1/15 2:45:00 PM,C,19.5
8/1/15 3:15:00 PM,C,20
8/1/15 3:45:00 PM,C,20
8/1/15 4:15:00 PM,C,20.5
8/1/15 4:45:00 PM,C,20.5
8/1/15 5:15:00 PM,C,20.5
8/1/15 5:45:00 PM,C,21
8/1/15 6:15:00 PM,C,21
8/1/15 6:45:00 PM,C,20.5
8/1/15 7:15:00 PM,C,20.5
8/1/15 7:45:00 PM,C,20.5
8/1/15 8:15:00 PM,C,20.5
8/1/15 8:45:00 PM,C,20
8/1/15 9:15:00 PM,C,19.5
8/1/15 9:45:00 PM,C,19
8/1/15 10:15:00 PM,C,17.5
8/1/15 10:45:00 PM,C,17.5
8/1/15 11:15:00 PM,C,17
8/1/15 11:45:00 PM,C,17
8/2/15 12:15:00 AM,C,17
8/2/15 12:45:00 AM,C,17
8/2/15 1:15:00 AM,C,17
8/2/15 1:45:00 AM,C,17
8/2/15 2:15:00 AM,C,17
8/2/15 2:45:00 AM,C,17
8/2/15 3:15:00 AM,C,17
8/2/15 3:45:00 AM,C,17
8/2/15 4:15:00 AM,C,17
8/2/15 4:45:00 AM,C,17
8/2/15 5:15:00 AM,C,17
8/2/15 5:45:00 AM,C,17
8/2/15 6:15:00 AM,C,17
8/2/15 6:45:00 AM,C,17
8/2/15 7:15:00 AM,C,17
8/2/15 7:45:00 AM,C,17.5
8/2/15 8:15:00 AM,C,17.5
8/2/15 8:45:00 AM,C,18
8/2/15 9:15:00 AM,C,18
8/2/15 9:45:00 AM,C,18
8/2/15 10:15:00 AM,C,18
8/2/15 10:45:00 AM,C,18.5
8/2/15 11:15:00 AM,C,19
8/2/15 11:45:00 AM,C,21.5
8/2/15 12:15:00 PM,C,26
8/2/15 12:45:00 PM,C,24.5
8/2/15 1:15:00 PM,C,22
8/2/15 1:45:00 PM,C,20.5
8/2/15 2:15:00 PM,C,20
8/2/15 2:45:00 PM,C,20
8/2/15 3:15:00 PM,C,20
8/2/15 3:45:00 PM,C,20
8/2/15 4:15:00 PM,C,20.5
8/2/15 4:45:00 PM,C,20.5
8/2/15 5:15:00 PM,C,21
8/2/15 5:45:00 PM,C,21
8/2/15 6:15:00 PM,C,21
8/2/15 6:45:00 PM,C,21
8/2/15 7:15:00 PM,C,20.5
8/2/15 7:45:00 PM,C,20.5
8/2/15 8:15:00 PM,C,20.5
8/2/15 8:45:00 PM,C,20
8/2/15 9:15:00 PM,C,20
8/2/15 9:45:00 PM,C,19.5
8/2/15 10:15:00 PM,C,18.5
8/2/15 10:45:00 PM,C,18
8/2/15 11:15:00 PM,C,17.5
8/2/15 11:45:00 PM,C,17
8/3/15 12:15:00 AM,C,17
8/3/15 12:45:00 AM,C,17.5
8/3/15 1:15:00 AM,C,17.5
8/3/15 1:45:00 AM,C,17.5
8/3/15 2:15:00 AM,C,17.5
8/3/15 2:45:00 AM,C,17.5
8/3/15 3:15:00 AM,C,17.5
8/3/15 3:45:00 AM,C,17.5
8/3/15 4:15:00 AM,C,17.5
8/3/15 4:45:00 AM,C,17.5
8/3/15 5:15:00 AM,C,17.5
8/3/15 5:45:00 AM,C,17.5
8/3/15 6:15:00 AM,C,17.5
8/3/15 6:45:00 AM,C,17.5
8/3/15 7:15:00 AM,C,17.5
8/3/15 7:45:00 AM,C,17.5
8/3/15 8:15:00 AM,C,17.5
8/3/15 8:45:00 AM,C,17.5
8/3/15 9:15:00 AM,C,17.5
8/3/15 9:45:00 AM,C,17.5
8/3/15 10:15:00 AM,C,17.5
8/3/15 10:45:00 AM,C,18
8/3/15 11:15:00 AM,C,23.5
8/3/15 11:45:00 AM,C,27
8/3/15 12:15:00 PM,C,25.5
8/3/15 12:45:00 PM,C,26
8/3/15 1:15:00 PM,C,22.5
8/3/15 1:45:00 PM,C,21
8/3/15 2:15:00 PM,C,20.5
8/3/15 2:45:00 PM,C,20
8/3/15 3:15:00 PM,C,20
8/3/15 3:45:00 PM,C,20.5
8/3/15 4:15:00 PM,C,20.5
8/3/15 4:45:00 PM,C,21
8/3/15 5:15:00 PM,C,21
8/3/15 5:45:00 PM,C,21
8/3/15 6:15:00 PM,C,21
8/3/15 6:45:00 PM,C,21
8/3/15 7:15:00 PM,C,21
8/3/15 7:45:00 PM,C,20.5
8/3/15 8:15:00 PM,C,20.5
8/3/15 8:45:00 PM,C,20.5
8/3/15 9:15:00 PM,C,20.5
8/3/15 9:45:00 PM,C,20
8/3/15 10:15:00 PM,C,20
8/3/15 10:45:00 PM,C,20
8/3/15 11:15:00 PM,C,20
8/3/15 11:45:00 PM,C,19.5
