size_bin,count,breeding
6.93336979,1.20853769,0
7.845412444,6.214490376,0
8.979698207,3.918633332,0
9.879436745,4.899772716,0
10.93682178,4.1154992,0
11.95268042,3.080814122,0
12.89010031,3.054610911,0
13.87173813,4.15924717,0
14.84722388,3.251476779,0
15.83116872,5.110765533,0
16.85702445,7.346241263,0
17.86173249,15.99740246,0
18.82837466,12.19679751,0
19.8130885,14.3076371,0
20.8347147,15.15958326,0
21.80058786,11.10742747,0
22.83490268,16.10996235,0
23.86921749,21.11249722,0
24.87277201,29.38633218,0
25.872866,23.19485506,0
26.87257549,30.21093585,0
27.8434472,41.12719381,0
28.86622691,42.35646621,0
29.8344071,65.72562959,0
30.83027155,71.48395623,0
31.82728951,77.61960912,0
32.90736025,44.25608513,0
33.87900097,55.42389391,0
34.87678794,48.4777643,0
35.87072987,40.27388052,0
36.90927423,19.99327831,0
37.86130526,11.41320756,0
38.91100022,8.113425728,0
22.83336466,2.273527351,1
24.8716185,2.342339263,1
25.92785003,1.1807395,1
26.90871883,2.033824928,1
27.81499393,5.153146379,1
28.89006613,10.15454198,1
29.90284874,21.44698692,1
30.92216792,21.54428058,1
31.87804399,27.55529732,1
32.90659125,17.33786763,1
33.93167797,19.32179253,1
34.90985526,19.29445005,1
35.884572,18.13512882,1
36.8639028,5.151779255,1
37.87976144,4.117094178,1
38.89638908,3.333959932,1
39.91532375,3.30547818,1
41.94781004,1.487658857,1
43.04825948,1.456898565,1
44.92386828,1.656042973,1
