"","size1mm","year","breeding","population","province","figure"
"64",28,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"65",28,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"66",28,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"67",28,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"68",28,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"69",28,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"70",28,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"71",28,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"72",28,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"73",28,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"74",28,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"75",28,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"76",28,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"77",28,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"78",28,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"79",28,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"80",28,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"81",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"82",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"83",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"84",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"85",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"86",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"87",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"88",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"89",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"90",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"91",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"92",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"93",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"94",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"95",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"96",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"97",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"98",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"99",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"100",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"101",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"102",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"103",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"104",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"105",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"106",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"107",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"108",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"109",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"110",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"111",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"112",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"113",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"114",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"115",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"116",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"117",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"118",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"119",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"120",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"121",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"122",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"123",29,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"124",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"125",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"126",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"127",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"128",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"129",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"130",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"131",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"132",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"133",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"134",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"135",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"136",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"137",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"138",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"139",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"140",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"141",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"142",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"143",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"144",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"145",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"146",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"147",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"148",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"149",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"150",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"151",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"152",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"153",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"154",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"155",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"156",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"157",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"158",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"159",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"160",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"161",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"162",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"163",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"164",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"165",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"166",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"167",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"168",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"169",30,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"170",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"171",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"172",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"173",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"174",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"175",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"176",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"177",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"178",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
"179",31,1968,1,"V_VI","TS_SB_43S_UCV_CV","Spight_1974_Ecology_Fig2"
