"","study","studySub","species","sp","site","era","date","nest1","nest2","nest3","nest3note","sampleUnit","size1mm","size1mm_rand","habitat","tideHTm","lat","long","Shaw_hab","notes","notes2","year"
"39","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"40","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"41","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"42","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"43","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"44","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"45","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"46","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"47","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"48","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"49","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"50","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"51","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"52","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,17,17,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"53","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"54","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"55","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"56","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"57","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"58","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"59","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"60","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"61","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"62","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"63","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"64","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"65","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"66","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"67","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"68","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"69","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"70","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"71","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"72","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"73","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"74","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"75","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"76","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"77","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"78","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"79","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"80","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"81","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"82","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"83","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"84","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"85","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"86","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"87","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"88","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"89","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"90","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"91","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
"92","Fisher",NA,"Nucella lapillus","NULP","Maine","past",NA,NA,NA,NA,NA,NA,18,18,NA,NA,44.2553654,-68.36960568,NA,"","",1918
